Draft,Owner,Fact #,Category,Fact
Auction,Kristin,2,Weekly low,Bottomed out at 85.04 points in Week 18.
Auction,Kristin,3,Biggest win,The biggest win was a 18.86-point beating of Carson in Week 6 (113.38–94.52).
Auction,Kristin,4,Worst loss,The worst loss was by 43.24 points to ToddB in Week 7 (132.02–175.26).
Auction,Kristin,5,Season streak,"Lost 4 straight from Week 1 through Week 4, the team’s longest streak of the season."
Auction,Kristin,6,Rivalry,Has lost 3 straight head-to-head meetings against Woody; the latest was in Week 15 of 2025.
Auction,Kristin,7,Career context,The 2025 regular-season win total ranked as the worst across 2 recorded seasons in this draft format.
Auction,Kristin,8,Lineup slot,"The WR3 slot produced 115.8 starter points, ranking 3rd among the 12 teams in the league."
Auction,Kristin,9,Draft outcome,James Conner cost $15 but supplied 33.3 starter points across 3 starts and was last observed in Week 3.
Auction,Kristin,10,Lineup management,"Converted 85.6% of the optimal lineup’s points, ranking 9th in the league; the worst start/sit miss was 60.6 points in Week 4."
Auction,Kristin,11,Schedule luck,"The actual record finished about 1.5 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Kristin,12,Roster activity,Used 32 different players (5th-most) and made 22 moves (4th-most).
Auction,Kyle,1,Weekly high,"Scored 147.06 in Week 5, the team’s best output across all 18 weeks."
Auction,Kyle,2,Weekly low,Bottomed out at 71.18 points in Week 8. It was the 3rd-lowest team-week in the league.
Auction,Kyle,3,Biggest win,The biggest win was a 45.44-point beating of Reyes in Week 5 (147.06–101.62).
Auction,Kyle,4,Worst loss,The worst loss was by 66.98 points to Shane in Week 8 (71.18–138.16).
Auction,Kyle,5,Season streak,"Won 3 straight from Week 5 through Week 7, the team’s longest streak of the season."
Auction,Kyle,6,Rivalry,Has lost 4 straight head-to-head meetings against Easton; the latest was in Week 14 of 2025.
Auction,Kyle,7,Career context,The 2025 scoring average ranked as the worst across 7 recorded seasons in this draft format.
Auction,Kyle,8,Lineup slot,"The WR2 slot produced 277.5 starter points, ranking 2nd among the 12 teams in the league."
Auction,Kyle,9,Draft outcome,Ricky Pearsall cost $9 but supplied 59.5 starter points across 7 starts and was last observed in Week 18.
Auction,Kyle,10,Lineup management,"Converted 92.2% of the optimal lineup’s points, ranking 1st in the league; the worst start/sit miss was 31.2 points in Week 13."
Auction,Kyle,11,Schedule luck,"The actual record finished about 0.2 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Kyle,12,Roster activity,Used 28 different players (6th-most) and made 12 moves (7th-most).
Auction,McCade,1,Weekly high,"Scored 210.24 in Week 8, the team’s best output across all 18 weeks. It was the 1st-highest team-week in the league."
Auction,McCade,2,Weekly low,Bottomed out at 77.10 points in Week 14.
Auction,McCade,3,Biggest win,The biggest win was a 104.86-point beating of Colton in Week 8 (210.24–105.38).
Auction,McCade,4,Worst loss,The worst loss was by 47.20 points to Colton in Week 15 (104.40–151.60).
Auction,McCade,5,Season streak,"Won 3 straight from Week 6 through Week 8, the team’s longest streak of the season."
Auction,McCade,6,Rivalry,Has lost 3 straight head-to-head meetings against ToddB; the latest was in Week 2 of 2025.
Auction,McCade,7,Career context,The 2025 win total ranked 3rd among 9 recorded seasons in this draft format.
Auction,McCade,8,Lineup slot,"The RB2 slot produced 162.0 starter points, ranking 10th among the 12 teams in the league."
Auction,McCade,9,Draft outcome,RJ Harvey cost $8 but supplied 0.0 starter points across 0 starts and was last observed in Week 8.
Auction,McCade,10,Lineup management,"Converted 90.7% of the optimal lineup’s points, ranking 2nd in the league; the worst start/sit miss was 27.5 points in Week 3."
Auction,McCade,11,Schedule luck,"The actual record finished about 0.3 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,McCade,12,Roster activity,Used 39 different players (1st-most) and made 30 moves (1st-most).
Auction,Reyes,1,Weekly high,"Scored 136.80 in Week 10, the team’s best output across all 18 weeks."
Auction,Reyes,2,Weekly low,Bottomed out at 85.54 points in Week 7.
Auction,Reyes,3,Biggest win,The biggest win was a 36.28-point beating of Dallin in Week 10 (136.80–100.52).
Auction,Reyes,4,Worst loss,The worst loss was by 95.28 points to Woody in Week 14 (87.86–183.14).
Auction,Reyes,5,Season streak,"Lost 5 straight from Week 3 through Week 7, the team’s longest streak of the season."
Auction,Reyes,6,Rivalry,Has lost 4 straight head-to-head meetings against Kyle; the latest was in Week 5 of 2025.
Auction,Reyes,7,Career context,The 2025 regular-season win total ranked as the worst across 8 recorded seasons in this draft format.
Auction,Reyes,8,Lineup slot,"The RB2 slot produced 146.8 starter points, ranking 12th among the 12 teams in the league."
Auction,Reyes,9,Draft outcome,Travis Hunter cost $17 but supplied 14.5 starter points across 2 starts and was last observed in Week 10.
Auction,Reyes,10,Lineup management,"Converted 82.7% of the optimal lineup’s points, ranking 12th in the league; the worst start/sit miss was 65.0 points in Week 7."
Auction,Reyes,11,Schedule luck,"The actual record finished about 0.5 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Reyes,12,Roster activity,Used 39 different players (2nd-most) and made 29 moves (2nd-most).
Auction,Shane,1,Weekly high,"Scored 138.16 in Week 8, the team’s best output across all 18 weeks."
Auction,Shane,2,Weekly low,Bottomed out at 84.44 points in Week 18.
Auction,Shane,3,Biggest win,The biggest win was a 66.98-point beating of Kyle in Week 8 (138.16–71.18).
Auction,Shane,4,Worst loss,The worst loss was by 57.92 points to Dallin in Week 9 (99.30–157.22).
Auction,Shane,5,Season streak,"Won 3 straight from Week 13 through Week 15, the team’s longest streak of the season."
Auction,Shane,6,Rivalry,Has won 4 straight head-to-head meetings against Colton; the latest was in Week 3 of 2025.
Auction,Shane,7,Career context,The 2025 scoring average ranked as the worst across 7 recorded seasons in this draft format.
Auction,Shane,8,Lineup slot,"The WR2 slot produced 167.1 starter points, ranking 11th among the 12 teams in the league."
Auction,Shane,9,Draft outcome,Bo Nix cost $11 but supplied 57.0 starter points across 4 starts and was last observed in Week 18.
Auction,Shane,10,Lineup management,"Converted 84.9% of the optimal lineup’s points, ranking 10th in the league; the worst start/sit miss was 42.4 points in Week 9."
Auction,Shane,11,Schedule luck,"The actual record finished about 0.7 more wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Shane,12,Roster activity,Used 27 different players (8th-most) and made 14 moves (6th-most).
Auction,ToddB,1,Weekly high,"Scored 175.26 in Week 7, the team’s best output across all 18 weeks. It was the 4th-highest team-week in the league."
Auction,ToddB,2,Weekly low,Bottomed out at 80.52 points in Week 8.
Auction,ToddB,3,Biggest win,The biggest win was a 107.84-point beating of Woody in Week 12 (166.36–58.52).
Auction,ToddB,4,Worst loss,The worst loss was by 51.26 points to Carson in Week 14 (119.14–170.40).
Auction,ToddB,5,Season streak,"Won 7 straight from Week 1 through Week 7, the team’s longest streak of the season."
Auction,ToddB,6,Rivalry,Has won 4 straight head-to-head meetings against Kyle; the latest was in Week 11 of 2025.
Auction,ToddB,7,Career context,The 2025 regular-season win total ranked as the best across 9 recorded seasons in this draft format.
Auction,ToddB,8,Lineup slot,"The WR3 slot produced 136.0 starter points, ranking 2nd among the 12 teams in the league."
Auction,ToddB,9,Draft outcome,TreVeyon Henderson cost $23 but supplied 112.5 starter points across 9 starts and was last observed in Week 18.
Auction,ToddB,10,Lineup management,"Converted 86.0% of the optimal lineup’s points, ranking 7th in the league; the worst start/sit miss was 75.7 points in Week 15."
Auction,ToddB,11,Schedule luck,"The actual record finished about 1.1 more wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,ToddB,12,Roster activity,Used 34 different players (3rd-most) and made 24 moves (3rd-most).
Auction,Tyler,1,Weekly high,"Scored 133.72 in Week 15, the team’s best output across all 18 weeks."
Auction,Tyler,2,Weekly low,Bottomed out at 84.50 points in Week 11.
Auction,Tyler,3,Biggest win,The biggest win was a 51.12-point beating of Easton in Week 10 (122.84–71.72).
Auction,Tyler,4,Worst loss,The worst loss was by 76.02 points to ToddB in Week 5 (97.86–173.88).
Auction,Tyler,5,Season streak,"Lost 5 straight from Week 3 through Week 7, the team’s longest streak of the season."
Auction,Tyler,6,Rivalry,Has lost 2 straight head-to-head meetings against Colton; the latest was in Week 14 of 2025.
Auction,Tyler,7,Career context,2025 was the manager’s first recorded season in this draft format.
Auction,Tyler,8,Lineup slot,"The RB2 slot produced 189.9 starter points, ranking 3rd among the 12 teams in the league."
Auction,Tyler,9,Draft outcome,Mike Evans cost $25 but supplied 34.0 starter points across 4 starts and was last observed in Week 18.
Auction,Tyler,10,Lineup management,"Converted 84.9% of the optimal lineup’s points, ranking 11th in the league; the worst start/sit miss was 55.9 points in Week 7."
Auction,Tyler,11,Schedule luck,"The actual record finished about 0.1 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Tyler,12,Roster activity,Used 21 different players (10th-most) and made 5 moves (10th-most).
Auction,Woody,1,Weekly high,"Scored 183.14 in Week 14, the team’s best output across all 18 weeks. It was the 3rd-highest team-week in the league."
Auction,Woody,2,Weekly low,Bottomed out at 58.52 points in Week 12. It was the lowest team-week in the league.
Auction,Woody,3,Biggest win,The biggest win was a 95.28-point beating of Reyes in Week 14 (183.14–87.86).
Auction,Woody,4,Worst loss,The worst loss was by 107.84 points to ToddB in Week 12 (58.52–166.36).
Auction,Woody,5,Season streak,"Won 3 straight from Week 9 through Week 11, the team’s longest streak of the season."
Auction,Woody,6,Rivalry,Has won 3 straight head-to-head meetings against Ryan; the latest was in Week 15 of 2025.
Auction,Woody,7,Career context,The 2025 win total ranked 3rd among 9 recorded seasons in this draft format.
Auction,Woody,8,Lineup slot,"The WR3 slot produced 115.8 starter points, ranking 3rd among the 12 teams in the league."
Auction,Woody,9,Draft outcome,Marvin Harrison Jr. cost $10 but supplied 89.9 starter points across 8 starts and was last observed in Week 18.
Auction,Woody,10,Lineup management,"Converted 86.3% of the optimal lineup’s points, ranking 6th in the league; the worst start/sit miss was 54.4 points in Week 3."
Auction,Woody,11,Schedule luck,"The actual record finished about 0.7 more wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Woody,12,Roster activity,Used 19 different players (11th-most) and made 3 moves (11th-most).
Snake,Carson,1,Weekly high,"Scored 157.90 in Week 15, the team’s best output across all 18 weeks."
Snake,Carson,2,Weekly low,Bottomed out at 86.04 points in Week 7.
Snake,Carson,3,Biggest win,The biggest win was a 35.02-point beating of Kyle in Week 3 (149.74–114.72).
Snake,Carson,4,Worst loss,The worst loss was by 49.34 points to Woody in Week 7 (86.04–135.38).
Snake,Carson,5,Season streak,"Lost 5 straight from Week 4 through Week 8, the team’s longest streak of the season."
Snake,Carson,6,Rivalry,Has won 5 straight head-to-head meetings against Kyle; the latest was in Week 15 of 2025.
Snake,Carson,7,Career context,The 2025 win total ranked 8th among 9 recorded seasons in this draft format.
Snake,Carson,8,Lineup slot,"The RB2 slot produced 141.3 starter points, ranking 10th among the 12 teams in the league."
Snake,Carson,9,Draft outcome,Malik Nabers cost pick #16 in Round 2 but supplied 57.1 starter points across 4 starts and was last observed in Week 4.
Snake,Carson,10,Lineup management,"Converted 83.7% of the optimal lineup’s points, ranking 12th in the league; the worst start/sit miss was 56.5 points in Week 17."
Snake,Carson,11,Schedule luck,"The actual record finished about 1.9 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Carson,12,Roster activity,Used 28 different players (6th-most) and made 14 moves (5th-most).
Snake,Colton,1,Weekly high,"Scored 207.50 in Week 10, the team’s best output across all 18 weeks. It was the 1st-highest team-week in the league."
Snake,Colton,2,Weekly low,Bottomed out at 86.98 points in Week 17.
Snake,Colton,3,Biggest win,The biggest win was a 74.00-point beating of Reyes in Week 12 (169.02–95.02).
Snake,Colton,4,Worst loss,The worst loss was by 32.84 points to Easton in Week 6 (89.46–122.30).
Snake,Colton,5,Season streak,"Won 4 straight from Week 9 through Week 12, the team’s longest streak of the season."
Snake,Colton,6,Rivalry,Has won 5 straight head-to-head meetings against Dallin; the latest was in Week 7 of 2025.
Snake,Colton,7,Career context,The 2025 win total ranked 3rd among 8 recorded seasons in this draft format.
Snake,Colton,8,Lineup slot,"The WR2 slot produced 242.5 starter points, ranking 3rd among the 12 teams in the league."
Snake,Colton,9,Draft outcome,Tucker Kraft cost pick #94 in Round 8 but supplied 9.9 starter points across 1 starts and was last observed in Week 1.
Snake,Colton,10,Lineup management,"Converted 87.6% of the optimal lineup’s points, ranking 6th in the league; the worst start/sit miss was 44.1 points in Week 18."
Snake,Colton,11,Schedule luck,"The actual record finished about 0.9 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Colton,12,Roster activity,Used 23 different players (10th-most) and made 6 moves (11th-most) and completed 1 trade.
Snake,Dallin,1,Weekly high,"Scored 165.12 in Week 3, the team’s best output across all 18 weeks."
Snake,Dallin,2,Weekly low,Bottomed out at 56.00 points in Week 14. It was the lowest team-week in the league.
Snake,Dallin,3,Biggest win,The biggest win was a 45.14-point beating of Carson in Week 13 (145.04–99.90).
Snake,Dallin,4,Worst loss,The worst loss was by 82.14 points to Easton in Week 14 (56.00–138.14).
Snake,Dallin,5,Season streak,"Won 3 straight from Week 3 through Week 5, the team’s longest streak of the season."
Snake,Dallin,6,Rivalry,Has lost 5 straight head-to-head meetings against Colton; the latest was in Week 7 of 2025.
Snake,Dallin,7,Career context,The 2025 regular-season win total ranked as the best across 3 recorded seasons in this draft format.
Snake,Dallin,8,Lineup slot,"The RB2 slot produced 261.6 starter points, ranking 1st among the 12 teams in the league."
Snake,Dallin,9,Draft outcome,Evan Engram cost pick #90 in Round 8 but supplied 7.3 starter points across 2 starts and was last observed in Week 2.
Snake,Dallin,10,Lineup management,"Converted 91.2% of the optimal lineup’s points, ranking 1st in the league; the worst start/sit miss was 36.0 points in Week 13."
Snake,Dallin,11,Schedule luck,"The actual record finished about 0.9 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Dallin,12,Roster activity,Used 29 different players (5th-most) and made 14 moves (6th-most).
Snake,Easton,1,Weekly high,"Scored 152.22 in Week 3, the team’s best output across all 18 weeks."
Snake,Easton,2,Weekly low,Bottomed out at 59.70 points in Week 18. It was the 2nd-lowest team-week in the league.
Snake,Easton,3,Biggest win,The biggest win was a 82.14-point beating of Dallin in Week 14 (138.14–56.00).
Snake,Easton,4,Worst loss,The worst loss was by 31.16 points to Dallin in Week 8 (98.42–129.58).
Snake,Easton,5,Season streak,"Won 5 straight from Week 3 through Week 7, the team’s longest streak of the season."
Snake,Easton,6,Rivalry,Has won 4 straight head-to-head meetings against Colton; the latest was in Week 6 of 2025.
Snake,Easton,7,Career context,The 2025 scoring average ranked as the best across 4 recorded seasons in this draft format.
Snake,Easton,8,Lineup slot,"The RB2 slot produced 237.4 starter points, ranking 2nd among the 12 teams in the league."
Snake,Easton,9,Draft outcome,Matthew Golden cost pick #74 in Round 7 but supplied 35.9 starter points across 6 starts and was last observed in Week 10.
Snake,Easton,10,Lineup management,"Converted 88.9% of the optimal lineup’s points, ranking 2nd in the league; the worst start/sit miss was 59.7 points in Week 18."
Snake,Easton,11,Schedule luck,"The actual record finished about 0.1 more wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Easton,12,Roster activity,Used 24 different players (9th-most) and made 9 moves (8th-most).
Snake,McCade,1,Weekly high,"Scored 162.20 in Week 15, the team’s best output across all 18 weeks."
Snake,McCade,2,Weekly low,Bottomed out at 74.32 points in Week 14.
Snake,McCade,3,Biggest win,The biggest win was a 60.00-point beating of Tyler in Week 10 (146.20–86.20).
Snake,McCade,4,Worst loss,The worst loss was by 44.62 points to Dallin in Week 3 (120.50–165.12).
Snake,McCade,5,Season streak,"Won 5 straight from Week 4 through Week 8, the team’s longest streak of the season."
Snake,McCade,6,Rivalry,Has won 7 straight head-to-head meetings against Woody; the latest was in Week 5 of 2025.
Snake,McCade,7,Career context,The 2025 win total ranked 2nd among 9 recorded seasons in this draft format.
Snake,McCade,8,Lineup slot,"The WR3 slot produced 140.6 starter points, ranking 2nd among the 12 teams in the league."
Snake,McCade,9,Draft outcome,Kaleb Johnson cost pick #93 in Round 8 but supplied 0.0 starter points across 0 starts and was last observed in Week 4.
Snake,McCade,10,Lineup management,"Converted 87.9% of the optimal lineup’s points, ranking 4th in the league; the worst start/sit miss was 52.2 points in Week 11."
Snake,McCade,11,Schedule luck,"The actual record finished about 0.5 more wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,McCade,12,Roster activity,Used 41 different players (1st-most) and made 30 moves (1st-most) and completed 2 trades.
Snake,Reyes,1,Weekly high,"Scored 159.06 in Week 9, the team’s best output across all 18 weeks."
Snake,Reyes,2,Weekly low,Bottomed out at 74.72 points in Week 8.
Snake,Reyes,3,Biggest win,The biggest win was a 54.76-point beating of ToddA in Week 9 (159.06–104.30).
Snake,Reyes,4,Worst loss,The worst loss was by 74.00 points to Colton in Week 12 (95.02–169.02).
Snake,Reyes,5,Season streak,"Lost 4 straight from Week 2 through Week 5, the team’s longest streak of the season."
Snake,Reyes,6,Rivalry,Has won 4 straight head-to-head meetings against ToddA; the latest was in Week 9 of 2025.
Snake,Reyes,7,Career context,The 2025 scoring average ranked as the worst across 8 recorded seasons in this draft format.
Snake,Reyes,8,Lineup slot,"The WR2 slot produced 54.2 starter points, ranking 12th among the 12 teams in the league."
Snake,Reyes,9,Draft outcome,Travis Hunter cost pick #77 in Round 7 but supplied 14.5 starter points across 2 starts and was last observed in Week 10.
Snake,Reyes,10,Lineup management,"Converted 86.8% of the optimal lineup’s points, ranking 9th in the league; the worst start/sit miss was 50.6 points in Week 13."
Snake,Reyes,11,Schedule luck,"The actual record finished about 3.6 more wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Reyes,12,Roster activity,Used 37 different players (2nd-most) and made 26 moves (2nd-most).
Snake,Shane,1,Weekly high,"Scored 160.12 in Week 5, the team’s best output across all 18 weeks."
Snake,Shane,2,Weekly low,Bottomed out at 62.24 points in Week 12. It was the 3rd-lowest team-week in the league.
Snake,Shane,3,Biggest win,The biggest win was a 32.44-point beating of Colton in Week 5 (160.12–127.68).
Snake,Shane,4,Worst loss,The worst loss was by 55.24 points to Easton in Week 7 (82.82–138.06).
Snake,Shane,5,Season streak,"Lost 4 straight from Week 1 through Week 4, the team’s longest streak of the season."
Snake,Shane,6,Rivalry,Has lost 5 straight head-to-head meetings against Carson; the latest was in Week 15 of 2025.
Snake,Shane,7,Career context,The 2025 regular-season win total ranked as the worst across 4 recorded seasons in this draft format.
Snake,Shane,8,Lineup slot,"The RB2 slot produced 76.0 starter points, ranking 12th among the 12 teams in the league."
Snake,Shane,9,Draft outcome,Joe Mixon cost pick #72 in Round 6 but supplied 0.0 starter points across 0 starts and was last observed in Week 4.
Snake,Shane,10,Lineup management,"Converted 85.7% of the optimal lineup’s points, ranking 10th in the league; the worst start/sit miss was 47.7 points in Week 8."
Snake,Shane,11,Schedule luck,"The actual record finished about 2.4 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Shane,12,Roster activity,Used 27 different players (7th-most) and made 11 moves (7th-most).
Snake,ToddA,1,Weekly high,"Scored 200.90 in Week 16, the team’s best output across all 18 weeks. It was the 2nd-highest team-week in the league."
Snake,ToddA,2,Weekly low,Bottomed out at 104.30 points in Week 9.
Snake,ToddA,3,Biggest win,The biggest win was a 48.68-point beating of ToddB in Week 3 (123.56–74.88).
Snake,ToddA,4,Worst loss,The worst loss was by 71.00 points to Colton in Week 10 (136.50–207.50).
Snake,ToddA,5,Season streak,"Won 5 straight from Week 2 through Week 6, the team’s longest streak of the season."
Snake,ToddA,6,Rivalry,Has lost 4 straight head-to-head meetings against Reyes; the latest was in Week 9 of 2025.
Snake,ToddA,7,Career context,The 2025 regular-season win total ranked as the best across 3 recorded seasons in this draft format.
Snake,ToddA,8,Lineup slot,"The WR3 slot produced 157.1 starter points, ranking 1st among the 12 teams in the league."
Snake,ToddA,9,Draft outcome,Alvin Kamara cost pick #35 in Round 3 but supplied 37.7 starter points across 3 starts and was last observed in Week 17.
Snake,ToddA,10,Lineup management,"Converted 87.9% of the optimal lineup’s points, ranking 5th in the league; the worst start/sit miss was 42.2 points in Week 9."
Snake,ToddA,11,Schedule luck,"The actual record finished about 1.4 more wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,ToddA,12,Roster activity,Used 22 different players (12th-most) and made 5 moves (12th-most) and completed 1 trade.
Snake,ToddB,1,Weekly high,"Scored 145.96 in Week 2, the team’s best output across all 18 weeks."
Snake,ToddB,2,Weekly low,Bottomed out at 65.80 points in Week 11. It was the 4th-lowest team-week in the league.
Snake,ToddB,3,Biggest win,The biggest win was a 26.44-point beating of Easton in Week 9 (117.96–91.52).
Snake,ToddB,4,Worst loss,The worst loss was by 81.22 points to Tyler in Week 7 (98.64–179.86).
Snake,ToddB,5,Season streak,"Lost 5 straight from Week 11 through Week 15, the team’s longest streak of the season."
Snake,ToddB,6,Rivalry,Has won 3 straight head-to-head meetings against Colton; the latest was in Week 1 of 2025.
Snake,ToddB,7,Career context,The 2025 scoring average ranked as the worst across 9 recorded seasons in this draft format.
Snake,ToddB,8,Lineup slot,"The RB2 slot produced 132.0 starter points, ranking 11th among the 12 teams in the league."
Snake,ToddB,9,Draft outcome,Isiah Pacheco cost pick #78 in Round 7 but supplied 6.1 starter points across 1 starts and was last observed in Week 10.
Snake,ToddB,10,Lineup management,"Converted 85.3% of the optimal lineup’s points, ranking 11th in the league; the worst start/sit miss was 58.9 points in Week 15."
Snake,ToddB,11,Schedule luck,"The actual record finished about 0.5 more wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,ToddB,12,Roster activity,Used 37 different players (3rd-most) and made 23 moves (3rd-most).
Snake,Tyler,1,Weekly high,"Scored 179.86 in Week 7, the team’s best output across all 18 weeks. It was the 3rd-highest team-week in the league."
Snake,Tyler,2,Weekly low,Bottomed out at 80.64 points in Week 18.
Snake,Tyler,3,Biggest win,The biggest win was a 81.22-point beating of ToddB in Week 7 (179.86–98.64).
Snake,Tyler,4,Worst loss,The worst loss was by 60.00 points to McCade in Week 10 (86.20–146.20).
Snake,Tyler,5,Season streak,"Won 3 straight from Week 6 through Week 8, the team’s longest streak of the season."
Snake,Tyler,6,Rivalry,Has lost 2 straight head-to-head meetings against Colton; the latest was in Week 14 of 2025.
Snake,Tyler,7,Career context,2025 was the manager’s first recorded season in this draft format.
Snake,Tyler,8,Lineup slot,"The WR2 slot produced 292.7 starter points, ranking 1st among the 12 teams in the league."
Snake,Tyler,9,Draft outcome,Aaron Jones cost pick #63 in Round 6 but supplied 0.0 starter points across 0 starts and was last observed in Week 6.
