auction_rank,player,team,position,auction_value,projected_points,starter_vorp,waiver_vorp,starter_baseline_points,waiver_baseline_points,model_position_rank,fantasypros_roster_rank,fantasypros_position_rank,composite_value_score,historical_slot_price,historical_position_budget,projected_starter_pool,projected_starter_role,fantasypros_injury_status,historical_seasons,model_note
33,Garrett Wilson,NYJ,WR,28,242.71,61.32000000000002,91.19,181.39,151.52,13,44.0,13.0,0.6548762974677792,28.400776038442558,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
34,Zay Flowers,BAL,WR,27,241.8,60.410000000000025,90.28,181.39,151.52,14,45.0,14.0,0.6417801288227204,27.259740685847515,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
35,Omarion Hampton,LAC,RB,26,254.39,56.94,145.96999999999997,197.45,108.42,13,19.0,13.0,0.6684244841604663,25.592489544858996,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
36,Malik Nabers,NYG,WR,26,240.32,58.93000000000001,88.79999999999998,181.39,151.52,15,48.0,15.0,0.6274405724915622,26.291077020365325,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
37,Josh Jacobs,GB,RB,24,248.26,50.81,139.83999999999997,197.45,108.42,14,22.0,14.0,0.6465204801718186,24.735723715667188,799,True,RB,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
38,DeVonta Smith,PHI,WR,24,236.7,55.31,85.17999999999998,181.39,151.52,16,49.0,16.0,0.6084328588827689,23.862005749125096,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
39,Tyler Warren,IND,TE,23,199.21,32.06,50.54000000000002,167.15,148.67,4,71.0,4.0,0.6874675137164308,24.667592548234566,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
40,Breece Hall,NYJ,RB,23,245.78,48.33000000000001,137.36,197.45,108.42,15,25.0,15.0,0.6302159239088747,23.505341666157825,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
41,Jayden Daniels,WAS,QB,22,359.22,12.28000000000003,71.35000000000002,346.94,287.87,6,40.0,6.0,0.6873882080158994,22.424141529740556,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
42,Kyren Williams,LAR,RB,22,240.4,42.95000000000002,131.98000000000002,197.45,108.42,16,28.0,17.0,0.6042541580373808,22.336302918140696,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
43,Tetairoa McMillan,CAR,WR,22,233.6,52.21000000000001,82.07999999999998,181.39,151.52,17,51.0,17.0,0.5905594638648027,22.589960565795707,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
44,Cam Skattebo,NYG,RB,21,239.41,41.96000000000001,130.99,197.45,108.42,17,27.0,16.0,0.6006520703894045,20.933631644914055,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
45,Emeka Egbuka,TB,WR,21,228.18,46.79000000000002,76.66,181.39,151.52,18,56.0,18.0,0.5676252628262226,21.58195687422082,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
46,Davante Adams,LAR,WR,20,222.22,40.83000000000001,70.69999999999999,181.39,151.52,19,67.0,19.0,0.5435131155587064,20.975746775796956,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
47,Dak Prescott,DAL,QB,19,356.42,9.480000000000018,68.55000000000001,346.94,287.87,7,42.0,7.0,0.6531136137793971,19.175557299538234,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
48,Javonte Williams,DAL,RB,19,234.6,37.150000000000006,126.17999999999999,197.45,108.42,18,31.0,18.0,0.5755647388202807,19.821387973657643,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
49,Tee Higgins,CIN,WR,19,221.54,40.150000000000006,70.01999999999998,181.39,151.52,20,68.0,20.0,0.530918664751898,20.40424012186933,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
50,Kyle Pitts Sr.,ATL,TE,18,195.59,28.439999999999998,46.920000000000016,167.15,148.67,5,80.0,5.0,0.6401963615362403,17.949547132699703,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
51,Travis Etienne Jr.,NO,RB,18,232.54,35.09,124.11999999999999,197.45,108.42,19,34.0,19.0,0.5599045025696096,18.166846324363352,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
52,Ladd McConkey,LAC,WR,18,220.41,39.02000000000001,68.88999999999999,181.39,151.52,21,69.0,21.0,0.517342592087643,18.992741307461536,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
53,Matthew Stafford,LAR,QB,17,353.35,6.410000000000025,65.48000000000002,346.94,287.87,8,46.0,8.0,0.6179446836700895,15.946869435134703,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
54,Bucky Irving,TB,RB,16,223.34,25.890000000000015,114.92,197.45,108.42,20,37.0,20.0,0.5332908261103013,16.458611061266396,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
55,Jameson Williams,DET,WR,16,217.37,35.98000000000002,65.85,181.39,151.52,22,70.0,22.0,0.4996000799840032,16.817060510292873,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
56,Harold Fannin Jr.,CLE,TE,14,191.13,23.97999999999999,42.46000000000001,167.15,148.67,6,85.0,6.0,0.5896910193473865,14.333669593352905,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
57,Brock Purdy,SF,QB,14,348.49,1.5500000000000114,60.620000000000005,346.94,287.87,9,50.0,9.0,0.5768466379595891,12.961840560453243,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
58,D'Andre Swift,CHI,RB,14,222.79,25.340000000000003,114.36999999999999,197.45,108.42,21,38.0,21.0,0.5199470737132775,13.37815483149415,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
59,Terry McLaurin,WAS,WR,14,210.08,28.690000000000026,58.56,181.39,151.52,23,76.0,24.0,0.467957065152626,14.02667833331165,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
60,Patrick Mahomes II,KC,QB,12,347.72,0.7800000000000296,59.85000000000002,346.94,287.87,10,52.0,10.0,0.5492961245445512,10.89593749232703,331,True,QB,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
61,Jaylen Waddle,DEN,WR,12,210.06,28.670000000000016,58.53999999999999,181.39,151.52,24,74.0,23.0,0.4660615856626654,12.064229514679717,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
62,Sam LaPorta,DET,TE,11,184.39,17.23999999999998,35.72,167.15,148.67,7,94.0,7.0,0.5304071614207333,10.936480433134314,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
63,Quinshon Judkins,CLE,RB,11,214.11,16.660000000000025,105.69000000000001,197.45,108.42,22,43.0,22.0,0.4941311267929739,10.758341835916966,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
64,DJ Moore,BUF,WR,11,208.71,27.32000000000002,57.19,181.39,151.52,25,77.0,25.0,0.4473759793495847,11.074038238503807,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
65,Denver Broncos,DEN,DST,10,200.41,48.379999999999995,72.85,152.03,127.56,1,138.0,2.0,0.9895833333333334,10.639909187255327,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
66,Trevor Lawrence,JAC,QB,10,347.13,0.18999999999999773,59.25999999999999,346.94,287.87,11,53.0,11.0,0.5223418350447167,8.59104541003202,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
67,Bhayshul Tuten,JAC,RB,10,206.77,9.320000000000022,98.35000000000001,197.45,108.42,23,47.0,23.0,0.47037086753087365,9.892086962365472,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
68,Luther Burden III,CHI,WR,10,208.03,26.640000000000015,56.50999999999999,181.39,151.52,26,78.0,26.0,0.4347815285427763,10.123516939162036,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
69,Rome Odunze,CHI,WR,10,205.07,23.680000000000007,53.54999999999998,181.39,151.52,27,83.0,28.0,0.4125838973619417,9.481145574243317,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
70,Houston Texans,HOU,DST,9,191.05,39.02000000000001,63.49000000000001,152.03,127.56,2,137.0,1.0,0.9340233928162893,9.30829961760664,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
71,Jaylen Warren,PIT,RB,9,197.45,0.0,89.02999999999999,197.45,108.42,24,55.0,24.0,0.44357309963948754,8.465296259917979,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
72,Mike Evans,SF,WR,9,204.08,22.690000000000026,52.56,181.39,151.52,28,84.0,29.0,0.3993132181644479,8.482455347160634,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
73,Travis Kelce,KC,TE,8,181.67,14.519999999999982,33.0,167.15,148.67,8,95.0,8.0,0.48660121282125324,6.813530918261959,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
74,David Montgomery,HOU,RB,8,195.84,-1.6099999999999852,87.42,197.45,108.42,25,58.0,25.0,0.42860320625910864,6.728071995315278,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
75,Alec Pierce,IND,WR,8,197.36,15.970000000000027,45.84,181.39,151.52,29,79.0,27.0,0.3809506280562069,8.099969214135008,910,True,WR/TE Flex,PUP,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
76,Courtland Sutton,DEN,WR,8,198.67,17.28,47.14999999999998,181.39,151.52,30,88.0,30.0,0.37640083094492205,7.539364578343408,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
77,Brandon Aubrey,DAL,K,7,196.24,37.26000000000002,54.83000000000001,158.98,141.41,1,169.0,1.0,1.0,6.843797664660376,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
78,Seattle Seahawks,SEA,DST,7,181.26,29.22999999999999,53.69999999999999,152.03,127.56,3,141.0,5.0,0.8240191031800503,7.684907466735933,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
79,Minnesota Vikings,MIN,DST,7,173.73,21.69999999999999,46.16999999999999,152.03,127.56,4,139.0,3.0,0.7889238732555479,7.394429742601935,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
80,Caleb Williams,CHI,QB,7,346.94,0.0,59.06999999999999,346.94,287.87,12,54.0,12.0,0.49671248757866837,5.629452943535259,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
81,TreVeyon Henderson,NE,RB,7,193.2,-4.25,84.77999999999999,197.45,108.42,26,59.0,26.0,0.41205319475339414,5.5150437420006115,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
82,Marvin Harrison Jr.,ARI,WR,7,197.2,15.810000000000002,45.67999999999998,181.39,151.52,31,89.0,31.0,0.3556016069513369,7.100735958260938,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
83,DK Metcalf,PIT,WR,7,195.31,13.920000000000016,43.78999999999999,181.39,151.52,32,93.0,33.0,0.3357380544093201,6.7070458702818305,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
84,Pittsburgh Steelers,PIT,DST,6,172.66,20.629999999999995,45.099999999999994,152.03,127.56,5,140.0,4.0,0.7580487874628232,6.6679105280924125,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
85,Jaxson Dart,NYG,QB,6,343.37,-3.569999999999993,55.5,346.94,287.87,13,57.0,13.0,0.45988737992712814,4.744892186698314,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
86,Dallas Goedert,PHI,TE,6,179.59,12.439999999999998,30.920000000000016,167.15,148.67,9,99.0,9.0,0.4452594089902782,5.336593507950016,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
87,Jadarian Price,SEA,RB,6,189.93,-7.519999999999982,81.51,197.45,108.42,27,64.0,27.0,0.39453670322927054,5.317751034399056,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
88,Christian Watson,GB,WR,6,194.64,13.25,43.119999999999976,181.39,151.52,33,92.0,32.0,0.33242467668082537,5.80503411139806,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
89,Jason Myers,SEA,K,5,188.86,29.880000000000024,47.45000000000002,158.98,141.41,2,170.0,2.0,0.9255113160100586,5.43787472194811,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
90,Ka'imi Fairbairn,HOU,K,5,181.03,22.05000000000001,39.620000000000005,158.98,141.41,3,171.0,3.0,0.8480050293378038,4.73416070370916,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
91,Los Angeles Rams,LAR,DST,5,169.26,17.22999999999999,41.69999999999999,152.03,127.56,6,151.0,7.0,0.6935469572180277,5.299717505337279,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
92,Los Angeles Chargers,LAC,DST,5,167.34,15.310000000000002,39.78,152.03,127.56,7,142.0,6.0,0.678838080530771,4.428942001869203,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
93,Jared Goff,DET,QB,5,341.14,-5.800000000000011,53.26999999999998,346.94,287.87,14,61.0,14.0,0.427500828088771,4.155332294986975,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
94,Tucker Kraft,GB,TE,5,178.68,11.530000000000001,30.01000000000002,167.15,148.67,10,100.0,10.0,0.40842236981422664,3.815309849362131,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
95,Tony Pollard,TEN,RB,5,187.89,-9.560000000000002,79.46999999999998,197.45,108.42,28,65.0,28.0,0.3789071488839456,4.159017443350899,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
96,Rhamondre Stevenson,NE,RB,5,187.7,-9.75,79.27999999999999,197.45,108.42,29,66.0,29.0,0.3661156707831556,3.6685849604285807,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
97,Michael Pittman Jr.,PIT,WR,5,190.51,9.120000000000005,38.98999999999998,181.39,151.52,34,98.0,34.0,0.30767482867062945,5.345121297670758,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
98,Parker Washington,JAC,WR,5,184.21,2.8200000000000216,32.69,181.39,151.52,35,102.0,35.0,0.2828210115552647,5.052900467930767,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
99,Cameron Dicker,LAC,K,4,174.31,15.330000000000013,32.900000000000006,158.98,141.41,4,172.0,4.0,0.7779421626152555,3.876855774116521,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
